id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1389389,2023/24,Indore,2023/09/24,India,Australia,Australia,field,D/L,1,India,99,0,SS Iyer,"Holkar Cricket Stadium, Indore",J Madanagopal,HDPK Dharmasena,KN Ananthapadmanabhan
1336129,2023,Nottingham,2023/09/23,England,Ireland,Ireland,field,normal,0,England,48,0,WG Jacks,"Trent Bridge, Nottingham",DJ Millns,RJ Tucker,PR Reiffel
1395701,2023,Dhaka,2023/09/23,New Zealand,Bangladesh,New Zealand,bat,normal,0,New Zealand,86,0,IS Sodhi,"Shere Bangla National Stadium, Mirpur",M Erasmus,Sharfuddoula,Nitin Menon
1389388,2023/24,Chandigarh,2023/09/22,Australia,India,India,field,normal,0,India,0,5,Mohammed Shami,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",KN Ananthapadmanabhan,HDPK Dharmasena,J Madanagopal
1395700,2023,Dhaka,2023/09/21,New Zealand,Bangladesh,Bangladesh,field,normal,0,,0,0,,"Shere Bangla National Stadium, Mirpur",Nitin Menon,Sharfuddoula,M Erasmus
1388414,2023,Colombo,2023/09/17,Sri Lanka,India,Sri Lanka,bat,normal,0,India,0,10,Mohammed Siraj,"R Premadasa Stadium, Colombo",Ahmed Shah Pakteen,RK Illingworth,CB Gaffaney
1373575,2023/24,Johannesburg,2023/09/17,South Africa,Australia,Australia,field,normal,0,South Africa,122,0,M Jansen,"The Wanderers Stadium, Johannesburg",A Paleker,RA Kettleborough,Nitin Menon
1388412,2023,Colombo,2023/09/15,Bangladesh,India,India,field,normal,0,Bangladesh,6,0,Shakib Al Hasan,"R Premadasa Stadium, Colombo",Asif Yaqoob,RK Illingworth,P Wilson
1336055,2023,London,2023/09/15,England,New Zealand,England,bat,normal,0,England,100,0,DJ Malan,"Lord's, London",AT Holdstock,MJ Saggers,PR Reiffel
1373574,2023/24,Centurion,2023/09/15,South Africa,Australia,Australia,field,normal,0,South Africa,164,0,H Klaasen,"SuperSport Park, Centurion",A Paleker,Nitin Menon,RA Kettleborough
1388410,2023,Colombo,2023/09/14,Pakistan,Sri Lanka,Pakistan,bat,D/L,1,Sri Lanka,0,2,BKG Mendis,"R Premadasa Stadium, Colombo",Ahmed Shah Pakteen,L Rusere,CB Gaffaney
1336054,2023,London,2023/09/13,England,New Zealand,New Zealand,field,normal,0,England,181,0,BA Stokes,"Kennington Oval, London",AG Wharf,PR Reiffel,AT Holdstock
1373573,2023/24,Potchefstroom,2023/09/12,South Africa,Australia,Australia,field,normal,0,South Africa,111,0,AK Markram,"Sedgars Park, Potchefstroom",BP Jele,RA Kettleborough,Nitin Menon
1388407,2023,Colombo,2023/09/12,India,Sri Lanka,India,bat,normal,0,India,41,0,DN Wellalage,"R Premadasa Stadium, Colombo",Masudur Rahman,RK Illingworth,P Wilson
1388406,2023,Colombo,2023/09/11,India,Pakistan,Pakistan,field,normal,0,India,228,0,V Kohli,"R Premadasa Stadium, Colombo",CB Gaffaney,RSA Palliyaguruge,RK Illingworth
1336053,2023,Southampton,2023/09/10,England,New Zealand,New Zealand,field,normal,0,England,79,0,LS Livingstone,"The Rose Bowl, Southampton",AT Holdstock,MJ Saggers,PR Reiffel
1373572,2023/24,Bloemfontein,2023/09/09,Australia,South Africa,South Africa,field,normal,0,Australia,123,0,M Labuschagne,"Mangaung Oval, Bloemfontein",BP Jele,Nitin Menon,RA Kettleborough
1388403,2023,Colombo,2023/09/09,Sri Lanka,Bangladesh,Bangladesh,field,normal,0,Sri Lanka,21,0,S Samarawickrama,"R Premadasa Stadium, Colombo",J Madanagopal,P Wilson,L Rusere
1336052,2023,Cardiff,2023/09/08,England,New Zealand,New Zealand,field,normal,0,New Zealand,0,8,DP Conway,"Sophia Gardens, Cardiff",AG Wharf,PR Reiffel,AT Holdstock
1373571,2023/24,Bloemfontein,2023/09/07,South Africa,Australia,Australia,field,normal,0,Australia,0,3,M Labuschagne,"Mangaung Oval, Bloemfontein",A Paleker,RA Kettleborough,Nitin Menon
1388401,2023,Lahore,2023/09/06,Bangladesh,Pakistan,Bangladesh,bat,normal,0,Pakistan,0,7,Haris Rauf,"Gaddafi Stadium, Lahore",Ahmed Shah Pakteen,L Rusere,CB Gaffaney
1388400,2023,Lahore,2023/09/05,Sri Lanka,Afghanistan,Sri Lanka,bat,normal,0,Sri Lanka,2,0,BKG Mendis,"Gaddafi Stadium, Lahore",Asif Yaqoob,CB Gaffaney,L Rusere
1388398,2023,Kandy,2023/09/04,Nepal,India,India,field,D/L,1,India,0,10,RG Sharma,Pallekele International Cricket Stadium,P Wilson,RSA Palliyaguruge,RK Illingworth
1388397,2023,Lahore,2023/09/03,Bangladesh,Afghanistan,Bangladesh,bat,normal,0,Bangladesh,89,0,Mehedi Hasan Miraz,"Gaddafi Stadium, Lahore",Asif Yaqoob,L Rusere,CB Gaffaney
1388394,2023,Kandy,2023/09/02,India,Pakistan,India,bat,normal,0,,0,0,,Pallekele International Cricket Stadium,RK Illingworth,RSA Palliyaguruge,P Wilson
1388393,2023,Kandy,2023/08/31,Bangladesh,Sri Lanka,Bangladesh,bat,normal,0,Sri Lanka,0,5,M Pathirana,Pallekele International Cricket Stadium,J Madanagopal,P Wilson,RK Illingworth
1388392,2023,Multan,2023/08/30,Pakistan,Nepal,Pakistan,bat,normal,0,Pakistan,238,0,Babar Azam,Multan Cricket Stadium,CB Gaffaney,Masudur Rahman,L Rusere
